,code,domain
30903,http://graph.facebook.com/<NUM_PARAM>/picture?type=large,[SOCIAL][LINKEDIN]
55565,https://www.facebook.com/dialog/oauth?client_id=%s&redirect_uri=%s,[SOCIAL][LINKEDIN]
55570,https://graph.facebook.com/oauth/access_token,[SOCIAL][LINKEDIN]
55729,https://api.linkedin.com/uas/oauth/authenticate?oauth_token=%s,[SOCIAL][LINKEDIN]
55730,https://api.linkedin.com/uas/oauth/requestToken,[SOCIAL][LINKEDIN]
55743,https://api.linkedin.com/uas/oauth/accessToken,[SOCIAL][LINKEDIN]
62376,https://api.linkedin.com/uas/oauth/requestToken,[SOCIAL][LINKEDIN]
62378,https://api.linkedin.com/uas/oauth/authenticate,[SOCIAL][LINKEDIN]
62381,https://api.linkedin.com/uas/oauth/accessToken,[SOCIAL][LINKEDIN]
65730,https://api.instagram.com/oauth/authorize,[SOCIAL][LINKEDIN]
65731,https://api.instagram.com/oauth/authorize,[SOCIAL][LINKEDIN]
65732,https://api.instagram.com/oauth/access_token,[SOCIAL][LINKEDIN]
65780,https://api.instagram.com/,[SOCIAL][LINKEDIN]
72446,https://www.facebook.com/dialog/oauth?client_id=%s&redirect_uri=%s,[SOCIAL][LINKEDIN]
72451,https://graph.facebook.com/oauth/access_token,[SOCIAL][LINKEDIN]
72610,https://api.linkedin.com/uas/oauth/authenticate?oauth_token=%s,[SOCIAL][LINKEDIN]
72611,https://api.linkedin.com/uas/oauth/requestToken,[SOCIAL][LINKEDIN]
72624,https://api.linkedin.com/uas/oauth/accessToken,[SOCIAL][LINKEDIN]
73634,"http://api.linkedin.com/v1/people/~/connections:(id,last-name)",[SOCIAL][LINKEDIN]
83122,https://www.facebook.com/v2.2/dialog/oauth?client_id=%s&redirect_uri=%s,[SOCIAL][LINKEDIN]
83125,https://graph.facebook.com/v2.2/oauth/access_token,[SOCIAL][LINKEDIN]
83284,https://api.instagram.com/oauth/authorize/?,[SOCIAL][LINKEDIN]
83292,https://api.instagram.com/oauth/access_token,[SOCIAL][LINKEDIN]
83355,https://api.linkedin.com/uas/oauth/authenticate?oauth_token=%s,[SOCIAL][LINKEDIN]
83356,https://api.linkedin.com/uas/oauth/requestToken,[SOCIAL][LINKEDIN]
83366,https://api.linkedin.com/uas/oauth/accessToken,[SOCIAL][LINKEDIN]
92750,https://www.facebook.com/v2.2/dialog/oauth?client_id=%s&redirect_uri=%s,[SOCIAL][LINKEDIN]
92753,https://graph.facebook.com/v2.2/oauth/access_token,[SOCIAL][LINKEDIN]
134613,https://github.com/facebook/react-native/wiki/Breaking-Changes#d4611211-reactnativeandroidbreaking-move-nativemodule-initialization-off-ui-thread---aaachiuuu ,[SOCIAL][LINKEDIN]
180738,https://graph.facebook.com/v3.2/me,[SOCIAL][LINKEDIN]
180854,https://api.linkedin.com/v2/me,[SOCIAL][LINKEDIN]
180856,https://api.linkedin.com/v2/emailAddress?q=members&projection=(elements*(handle~)),[SOCIAL][LINKEDIN]
181258,https://graph.facebook.com/v3.2/me,[SOCIAL][LINKEDIN]
181535,https://www.googleapis.com/oauth2/v3/userinfo,[SOCIAL][LINKEDIN]
182317,https://www.googleapis.com/oauth2/v3/userinfo,[SOCIAL][LINKEDIN]
183217,"http://api.linkedin.com/v1/people/~/connections:(id,last-name)",[SOCIAL][LINKEDIN]
183269,https://graph.facebook.com/v3.2/me,[SOCIAL][LINKEDIN]
183934,https://www.googleapis.com/oauth2/v3/userinfo,[SOCIAL][LINKEDIN]
184279,"http://api.linkedin.com/v1/people/~/connections:(id,last-name)",[SOCIAL][LINKEDIN]
184623,https://www.googleapis.com/oauth2/v3/userinfo,[SOCIAL][LINKEDIN]
185186,https://api.linkedin.com/uas/oauth/authenticate,[SOCIAL][LINKEDIN]
185187,https://api.linkedin.com/uas/oauth/requestToken,[SOCIAL][LINKEDIN]
185210,https://api.linkedin.com/uas/oauth/accessToken,[SOCIAL][LINKEDIN]
186247,https://www.googleapis.com/oauth2/v4/token,[SOCIAL][LINKEDIN]
192034,https://api.linkedin.com/v2/adAccountUsersV2?q=authenticatedUser&oauth2_access_token=,[SOCIAL][LINKEDIN]
192035,https://api.linkedin.com/v2/organizationAcls?q=roleAssignee&oauth2_access_token=,[SOCIAL][LINKEDIN]
192036,https://api.linkedin.com/v2/me?oauth2_access_token=,[SOCIAL][LINKEDIN]
193226,https://www.facebook.com/dialog/oauth?client_id=%s&redirect_uri=%s,[SOCIAL][LINKEDIN]
193231,https://graph.facebook.com/oauth/access_token,[SOCIAL][LINKEDIN]
193390,https://api.linkedin.com/uas/oauth/authenticate?oauth_token=%s,[SOCIAL][LINKEDIN]
193391,https://api.linkedin.com/uas/oauth/requestToken,[SOCIAL][LINKEDIN]
193404,https://api.linkedin.com/uas/oauth/accessToken,[SOCIAL][LINKEDIN]
199518,https://www.googleapis.com/oauth2/v2/userinfo?alt=json,[SOCIAL][LINKEDIN]
199519,https://mail.google.com/ https://www.googleapis.com/auth/userinfo.email,[SOCIAL][LINKEDIN]
201516,https://graph.facebook.com/v2.6/me,[SOCIAL][LINKEDIN]
201628,https://api.linkedin.com/v1/people/~:(%s),[SOCIAL][LINKEDIN]
201908,https://graph.facebook.com/v2.6/me,[SOCIAL][LINKEDIN]
202587,https://www.googleapis.com/plus/v1/people/me,[SOCIAL][LINKEDIN]
